Name,Description,Example,Type,Format,Required,Nullable,Enum,Pattern
sender_tax_fraud_status,"Indica se o remetente está ou não na lista de fraude fiscal do SAT por ter enviado dados incorretos, ter pagamentos pendentes ou ter realizado negócios que violam os regulamentos da instituição fiscal.<br><br>

O SAT atualiza a lista de fraude fiscal a cada três meses. <br><br>

Para mais informações sobre os motivos pelos quais um contribuinte pode ser incluído na lista de fraude fiscal, consulte o <a href=""http://omawww.sat.gob.mx/cifras_sat/Paginas/datos/vinculo.html?page=ListCompleta69.html"" target=""_blank"">Artigo 69</a> e o <a href=""http://omawww.sat.gob.mx/cifras_sat/Paginas/datos/vinculo.html?page=ListCompleta69B.html"" target=""_blank"">Artigo 69-B</a> do Código Fiscal da Federação do México.
<br><br>

Os status possíveis são:

- `INVESTIGATING` <br>
A instituição fiscal identificou irregularidades e abriu uma investigação sobre o contribuinte.
<br>
- `DISMISSED` <br>
A instituição fiscal investigou o contribuinte e o declarou inocente.
<br>
- `CONFIRMED` <br>
A instituição fiscal confirmou que o contribuinte é culpado.
<br>
- `OVERTURNED` <br>
A instituição fiscal reavaliou um contribuinte previamente confirmado e, com base em novas evidências, retirou o contribuinte da lista de fraude fiscal.
<br>
- `NO_TAX_FRAUD_STATUS` <br>
O receptor ou remetente não é encontrado na lista (ou seja, está em conformidade com os regulamentos da instituição fiscal).",NO_TAX_FRAUD_STATUS,string,,No,Yes,,
receiver_id,O ID fiscal do destinatário da fatura.,BBB222222BB22,string,,Yes,Yes,,
receiver_postal_code,O código postal do destinatário.,11560,string,,No,No,,
receiver_fiscal_regime,"O regime tributário do recebedor, conforme definido pela pessoa jurídica no país.",601,string,,No,Yes,,
receiver_name,O nome do destinatário da fatura.,BELVO CORP,string,,Yes,Yes,,
receiver_tax_fraud_status,"Indica se o destinatário está ou não na lista de fraude fiscal do SAT por ter enviado dados incorretos, ter pagamentos pendentes ou ter realizado negócios que violam os regulamentos da instituição fiscal.<br><br>

O SAT atualiza a lista de fraude fiscal a cada três meses. <br><br>

Para mais informações sobre os motivos pelos quais um contribuinte pode ser incluído na lista de fraude fiscal, consulte o <a href=""http://omawww.sat.gob.mx/cifras_sat/Paginas/datos/vinculo.html?page=ListCompleta69.html"" target=""_blank"">Artigo 69</a> e o <a href=""http://omawww.sat.gob.mx/cifras_sat/Paginas/datos/vinculo.html?page=ListCompleta69B.html"" target=""_blank"">Artigo 69-B</a> do Código Fiscal da Federação do México.
<br><br>

Os status possíveis são:

- `INVESTIGATING` <br>
A instituição fiscal identificou irregularidades e abriu uma investigação sobre o contribuinte.
<br>
- `DISMISSED` <br>
A instituição fiscal investigou o contribuinte e o declarou inocente.
<br>
- `CONFIRMED` <br>
A instituição fiscal confirmou que o contribuinte é culpado.
<br>
- `OVERTURNED` <br>
A instituição fiscal reavaliou um contribuinte previamente confirmado e, com base em novas evidências, retirou o contribuinte da lista de fraude fiscal.
<br>
- `NO_TAX_FRAUD_STATUS` <br>
O destinatário ou remetente não é encontrado na lista (ou seja, está em conformidade com os regulamentos da instituição fiscal).",NO_TAX_FRAUD_STATUS,string,,No,Yes,,
cancelation_status,"Se a fatura for cancelada, este campo indica o status do cancelamento.",,string,,Yes,Yes,,
cancelation_update_date,"A data do cancelamento da fatura, no formato `YYYY-MM-DD`.",2019-12-02,string,date,Yes,Yes,,
certification_date,"A data da certificação fiscal, no formato `YYYY-MM-DD`.",2019-12-01,string,date,Yes,Yes,,
certification_authority,O ID fiscal do provedor de certificação.,CCC333333CC33,string,,Yes,Yes,,
payment_type,"O código do tipo de pagamento usado para esta fatura, conforme definido pela entidade legal do país.

- 🇲🇽 México <a href=""https://developers.belvo.com/docs/sat-catalogs#payment-type"" target=""_blank"">Artigo de referência do catálogo SAT</a>",99,string,,Yes,Yes,,
payment_type_description,"*Este campo foi descontinuado. Para mais informações sobre a Belvo e descontinuação, consulte nossa explicação sobre Campos descontinuados.*",,string,,Yes,Yes,,
payment_method,"O código do método de pagamento usado para esta fatura, conforme definido pela entidade legal do país.

- 🇲🇽 México <a href=""https://developers.belvo.com/docs/sat-catalogs#payment-method"" target=""_blank"">artigo de referência do catálogo SAT</a>. Para o México, retornamos `PUE`, `PPD` ou `null`.",PUE,string,,No,Yes,"PUE, PPD, None",
payment_method_description,"*Este campo foi descontinuado. Para mais informações sobre a Belvo e descontinuação, consulte nossa explicação sobre Campos descontinuados.*

*A descrição do método de pagamento utilizado para esta fatura.*",,string,,No,Yes,,
usage,"O código de uso da fatura, conforme definido pela entidade legal do país.

- 🇲🇽 México <a href=""https://developers.belvo.com/docs/sat-catalogs#usage"" target=""_blank"">artigo de referência do catálogo SAT</a>",P01,string,,No,Yes,,
version,A versão CFDI da fatura.,3.3,string,,No,Yes,,
place_of_issue,O código postal de onde a fatura foi emitida.,01165,string,,No,Yes,,
invoice_details,Uma lista de descrições para cada item (produto comprado ou serviço prestado) na fatura.,,array,,Yes,No,,
invoice_details[].collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
invoice_details[].description,A descrição do item da fatura (uma fatura pode ter um ou mais itens).,December 2019 accounting fees,string,,Yes,Yes,,
invoice_details[].product_identification,"O código de identificação do produto ou serviço, conforme definido pela entidade legal no país.\n- \U0001F1F2\U0001F1FD <a href=""http://200.57.3.89/Pys/catPyS.aspx"" target=""_blank"">México</a>.",84101600,string,,Yes,Yes,,
invoice_details[].quantity,A quantidade deste item da fatura.,10,number,float,Yes,Yes,,
invoice_details[].unit_code,"A unidade de medida, conforme definida pela entidade legal no país. \n- \U0001F1F2\U0001F1FD México <a href=""https://developers.belvo.com/docs/sat-catalogs#unit-code"" target=""_blank"">referência do catálogo SAT</a>.",E48,string,,Yes,Yes,,
invoice_details[].unit_description,"A descrição do item, conforme definido pela entidade legal no país.\n- \U0001F1F2\U0001F1FD México <a href=""https://developers.belvo.com/docs/sat-catalogs#unit-code"" target=""_blank"">referência do catálogo SAT</a>.",Unidad de servicio,string,,Yes,Yes,,
invoice_details[].unit_amount,O preço de um único item.,200,number,float,Yes,Yes,,
invoice_details[].discount,O valor do desconto aplicado a este item da fatura.,10,number,float,No,Yes,,
invoice_details[].tax_subject_code,"Indica a que imposto este item está sujeito, conforme definido pela entidade legal no país.",02,string,,No,Yes,,
invoice_details[].identifier_number,"O número de identificação do item, conforme definido pelo vendedor. Isso pode ser usado para identificar o produto ou serviço no sistema do vendedor.",PROD-12345,string,,No,Yes,,
invoice_details[].pre_tax_amount,O preço total deste item antes da aplicação de impostos é (`quantity` x `unit_amount`).,400,number,float,Yes,Yes,,
invoice_details[].tax_percentage,A porcentagem de imposto a ser aplicada.,16,number,float,Yes,Yes,,
invoice_details[].tax_amount,O valor do imposto para este item da fatura (`pre_tax_amount` x `tax_percentage`).,64,number,float,Yes,Yes,,
invoice_details[].total_amount,O preço total para este item da fatura (`pre_tax_amount` + `tax_amount`).,464,number,float,Yes,Yes,,
invoice_details[].retained_taxes,O imposto retido no item da fatura.,,array,,No,No,,
invoice_details[].retained_taxes[].collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
invoice_details[].retained_taxes[].tax_type,"O código do tipo de imposto para este imposto retido, conforme definido pela entidade legal no país.",Tasa,string,,No,Yes,,
invoice_details[].retained_taxes[].tax,"O tipo de imposto retido (por exemplo, ISR, IVA ou IEPS).",ISR,string,,Yes,Yes,,
invoice_details[].retained_taxes[].tax_percentage,A porcentagem de imposto retido.,10,number,float,Yes,Yes,,
invoice_details[].retained_taxes[].retained_tax_amount,O valor do imposto retido.,209.79,number,float,Yes,Yes,,
invoice_details[].transferred_taxes,Os impostos transferidos relacionados à fatura.,,array,,No,No,,
invoice_details[].transferred_taxes[].collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
invoice_details[].transferred_taxes[].tax_type,"O código do tipo de imposto para este imposto transferido, conforme definido pela entidade legal no país.",Tasa,string,,No,Yes,,
invoice_details[].transferred_taxes[].tax,"O tipo de imposto transferido (por exemplo, ISR, IVA ou IEPS).",IVA,string,,Yes,Yes,,
invoice_details[].transferred_taxes[].tax_percentage,A porcentagem de imposto transferido.,10,number,float,Yes,Yes,,
invoice_details[].transferred_taxes[].transferred_tax_amount,O valor do imposto transferido.,209.79,number,float,Yes,Yes,,
currency,"A moeda da fatura. Por exemplo:

- 🇧🇷 BRL (Real Brasileiro)
- 🇨🇴 COP (Peso Colombiano)
- 🇲🇽 MXN (Peso Mexicano)
- 🇺🇸 USD (Dólar dos Estados Unidos)",MXN,string,,Yes,Yes,,
subtotal_amount,O valor antes dos impostos desta fatura (soma do `pre_tax_amount` de cada item).,400,number,float,Yes,Yes,,
exchange_rate,A taxa de câmbio utilizada nesta fatura para a moeda.,0.052,number,float,Yes,Yes,,
tax_amount,O valor do imposto para esta fatura (soma do `tax_amount` de cada item).,64,number,float,Yes,Yes,,
discount_amount,O valor total descontado nesta fatura.,10,number,float,Yes,Yes,,
total_amount,O valor total da fatura (`subtotal_amount` + `tax_amount` - `discount_amount`),454,number,float,Yes,Yes,,
related_invoices,Uma lista de faturas relacionadas.,,array,,No,No,,
related_invoices[].relationship_type,"O tipo de relação entre esta fatura e a fatura relacionada, conforme definido pela entidade legal no país. Para mais informações, consulte nosso <a href=""https://developers.belvo.com/docs/sat-catalogs#related-invoices"" target=""_blank"">artigo de referência do catálogo SAT</a>.",01,string,,No,Yes,,
related_invoices[].related_invoice_identification,O ID SAT da nota fiscal relacionada.,INV-123456,string,,No,Yes,,
payments,Uma lista detalhando todos os pagamentos de faturas.,,array,,Yes,No,,
payments[].date,Carimbo de data/hora ISO-8601 quando o pagamento foi realizado.,2020-03-17T12:00:00.000Z,string,date-time,Yes,Yes,,
payments[].payment_type,"Código do tipo de pagamento usado para esta fatura, conforme definido pela entidade legal do país.

- 🇲🇽 México <a href=""https://developers.belvo.com/docs/sat-catalogs#payment-type"" target=""_blank"">artigo de referência do catálogo SAT</a>",03,string,,Yes,Yes,,
payments[].currency,"A moeda do pagamento. Por exemplo:

- 🇧🇷 BRL (Real Brasileiro)
- 🇨🇴 COP (Peso Colombiano)
- 🇲🇽 MXN (Peso Mexicano)

Por favor, note que outras moedas além das listadas acima podem ser retornadas.",BRL,string,,Yes,Yes,,
payments[].exchange_rate,A taxa de câmbio de `currency` para MXN no momento em que o pagamento foi realizado.,3.75,string,,Yes,Yes,,
payments[].amount,"O valor da fatura, na moeda da fatura original.",8000.5,number,float,Yes,Yes,,
payments[].operation_number,O identificador interno da instituição fiscal para a operação.,831840,string,,Yes,Yes,,
payments[].beneficiary_rfc,O ID fiscal do beneficiário do pagamento.,BNM840515VB1,string,,No,Yes,,
payments[].beneficiary_account_number,O número da conta bancária do beneficiário do pagamento.,12343453245633,string,,Yes,Yes,,
payments[].payer_rfc,O ID fiscal do emissor do pagamento.,BKJM840515VB1,string,,Yes,Yes,,
payments[].payer_account_number,O número da conta bancária do emissor do pagamento.,13343663245699,string,,Yes,Yes,,
payments[].payer_bank_name,A instituição bancária que foi utilizada pelo emissor do pagamento.,CITI BANAMEX,string,,Yes,Yes,,
payments[].related_documents,Uma lista de todas as faturas diferidas relacionadas afetadas pelo pagamento.,,array,,Yes,No,,
payments[].related_documents[].invoice_identification,O ID exclusivo da instituição fiscal para a fatura diferida relacionada.,7EE015F3-6311-11EA-B02A-00155D014007,string,,Yes,Yes,,
payments[].related_documents[].currency,"A moeda da fatura relacionada. Por exemplo:

- 🇧🇷 BRL (Real Brasileiro)
- 🇨🇴 COP (Peso Colombiano)
- 🇲🇽 MXN (Peso Mexicano)

Por favor, note que outras moedas além das listadas acima podem ser retornadas.",MXN,string,,Yes,Yes,,
payments[].related_documents[].payment_method,O método de pagamento da fatura relacionada.,PPD,string,,Yes,Yes,,
payments[].related_documents[].partiality_number,O número da parcela de pagamento.,1,integer,int32,No,No,,
payments[].related_documents[].previous_balance,O valor da fatura antes do pagamento.,18877.84,number,float,Yes,Yes,,
payments[].related_documents[].amount_paid,O valor pago nesta parcela.,8000,number,float,Yes,Yes,,
payments[].related_documents[].outstanding_balance,O valor restante a ser pago.,10877.84,number,float,Yes,Yes,,
payroll,Detalhes sobre o pagamento da folha de pagamento. Aplicável apenas para faturas de folha de pagamento.,,object,,Yes,Yes,,
payroll.days,O número de dias cobertos pelo pagamento.,30,integer,int32,Yes,Yes,,
payroll.type,"O tipo de folha de pagamento, conforme definido pela entidade legal do país.

- 🇲🇽 México <a href=""https://developers.belvo.com/docs/sat-catalogs#payroll-type"" target=""_blank"">artigo de referência do catálogo SAT</a>",O,string,,Yes,Yes,,
payroll.amount,O valor total do pagamento da folha de pagamento.,20400.1,number,float,Yes,No,,
payroll.version,A versão do objeto de folha de pagamento.,1.2,string,,Yes,No,,
payroll.date_from,"A data de início do período de pagamento, no formato `YYYY-MM-DD`.",2018-07-01,string,date,Yes,Yes,,
payroll.date_to,"A data de término do período de pagamento, no formato `YYYY-MM-DD`.",2018-07-31,string,date,Yes,Yes,,
payroll.collected_at,O carimbo de data/hora ISO-8601 quando o ponto de dados foi coletado.,2022-02-09T08:45:50.406032Z,string,date-time,No,No,,
payroll.payment_date,"A data de pagamento, no formato `YYYY-MM-DD`.",2018-07-16,string,date,Yes,No,,
payroll.periodicity,"Com que frequência o pagamento da folha de pagamento é realizado.

Para o SAT do México, retornamos um dos seguintes valores:

  - `DAILY`
  - `WEEKLY`
  - `TENTH_DAY`
  - `FOURTEENTH_DAY`
  - `FIFTEENTH_DAY`
  - `MONTHLY`
  - `BIMONTHLY`
  - `PER_TASK`
  - `COMMISSION`
  - `ONE_OFF`
  - `OTHER_PERIODICITY`",MONTHLY,string,,No,Yes,"DAILY, WEEKLY, TENTH_DAY, FOURTEENTH_DAY, FIFTEENTH_DAY, MONTHLY, BIMONTHLY, PER_TASK, COMMISSION, ONE_OFF, OTHER_PERIODICITY, null",
payroll.earnings_breakdown,Uma análise detalhada dos ganhos para o pagamento da folha de pagamento.,,array,,No,Yes,,
payroll.earnings_breakdown[].type,"O tipo de renda. Para uma lista completa de valores possíveis, consulte a <a href=""https://developers.belvo.com/docs/sat-catalogs#payroll-earnings-breakdown-type"" target=""_blank"">tabela de tipos de detalhamento de ganhos da folha de pagamento</a>.",CHRISTMAS_BONUS,string,,No,Yes,,
payroll.earnings_breakdown[].taxable_amount,O valor da renda que é tributável.,1505,number,float,No,No,,
payroll.earnings_breakdown[].vat_free_amount,O valor da receita que não está sujeito ao IVA.,0,number,float,No,No,,
payroll.tax_deductions,Uma análise das deduções fiscais no pagamento da folha de pagamento.,,array,,No,Yes,,
payroll.tax_deductions[].type,"O tipo de dedução fiscal. Para uma lista completa de valores possíveis, consulte a <a href=""https://developers.belvo.com/docs/sat-catalogs#payroll-tax-deductions-type"" target=""_blank"">tabela de tipos de deduções fiscais de folha de pagamento</a>.",UNION_FEES,string,,No,Yes,,
payroll.tax_deductions[].amount,O valor da dedução fiscal.,1505,number,float,No,No,,
payroll.other_payments,Uma análise detalhada de outros pagamentos para a folha de pagamento.,,array,,No,Yes,,
payroll.other_payments[].type,"O tipo de outro pagamento. Para uma lista completa de valores possíveis, consulte a <a href=""https://developers.belvo.com/docs/sat-catalogs#payroll-other-payments-type"" target=""_blank"">tabela de tipos de outros pagamentos de folha de pagamento</a>.",EMPLOYMENT_SUBSIDY,string,,No,Yes,,
payroll.other_payments[].amount,O valor do outro pagamento.,1505,number,float,No,No,,
folio,O número de controle interno que o contribuinte atribui à nota fiscal.,26,string,,No,Yes,,
series,"A série da fatura, conforme definido pelo contribuinte. Este é um campo opcional usado para agrupar faturas.",A,string,,No,Yes,,
export_type,"O tipo de exportação da fatura, conforme definido pela entidade legal no país. Para mais informações, consulte nosso <a href=""https://developers.belvo.com/docs/sat-catalogs#export-type"" target=""_blank"">artigo de referência do catálogo SAT</a>.",01,string,,No,Yes,,
xml,XML do documento da fatura.,,string,,No,Yes,,
warnings,Objeto contendo informações sobre quaisquer avisos relacionados a esta fatura.,,object,,No,Yes,,
warnings.code,"O código de aviso. Pode ser um dos seguintes:

  - `sat_xml_limit_reached`
  - `sat_service_unavailable`
  - `null`",sat_xml_limit_reached,string,,Yes,Yes,,
warnings.message,"A descrição do aviso.

A mensagem dependerá do código de aviso:

`sat_xml_limit_reached`<br>
O limite diário para downloads de XML definido pelo SAT foi atingido, portanto, esta nota fiscal pode estar com dados faltando. Por favor, verifique https://tinyurl.com/yydzhy5d para mais informações sobre este erro.

`sat_service_unavailable`<br>
O download dos detalhes das notas fiscais não está disponível. O portal do SAT retornou um erro 503.","The daily limit for XML downloads set by SAT was reached so this invoice
might be missing data. Please check https://tinyurl.com/yydzhy5d for more
information on this error.
",string,,Yes,Yes,,
sender_blacklist_status,"*Este campo foi descontinuado. Para mais informações sobre a Belvo e descontinuação, consulte nossa explicação sobre Campos descontinuados.*
Por favor, use `sender_tax_fraud_status` em vez disso.",,string,,No,Yes,,
receiver_blacklist_status,"*Este campo foi descontinuado. Para mais informações sobre a Belvo e descontinuação, consulte nossa explicação sobre Campos descontinuados.*
Por favor, use `receiver_tax_fraud_status` em vez disso.",,string,,No,Yes,,
